"""MaStR-Nr. der Einheit""";Anzeige-Name der Einheit;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Inbetriebnahmedatum der EEG-Anlage;Coords;Wetter-ID
SEE991857192485;Solaranlage Meiendorf Nydamer Weg;4,08;3,8;28.09.2011;11.05.2020;Hamburg;22145;Hamburg;17.0;SÃ¼d-Ost;28.09.2011;[53.6281342, 10.16261];4039
SEE918941842859;Dach-PV-Anlage;3,22;3;31.03.2009;11.05.2020;Hamburg;22395;Hamburg;14.0;SÃ¼d;31.03.2009;[53.6667313, 10.1165789];4039
SEE992350620963;Haus 17;5,04;5;16.09.2009;11.05.2020;Hamburg;22395;Hamburg;24.0;SÃ¼d;16.09.2009;[53.6667313, 10.1165789];4039
SEE994015494964;SuedWest;5,76;5,76;19.08.2011;25.09.2021;Hamburg;22149;Hamburg;24.0;SÃ¼d-West;19.08.2011;[53.5919645, 10.1620723];4039
SEE953661938734;Lemmistrom;5,12;4;10.11.2011;11.05.2020;Hamburg;21147;Hamburg;;SÃ¼d;10.11.2011;[53.4781843, 9.8768076];4039
SEE992647050503;Aufdachanlage 2011 08 12;4,59;4,59;12.08.2011;11.05.2020;Hamburg;22397;Hamburg;54.0;SÃ¼d;12.08.2011;[53.6922599, 10.1080226];4039
SEE970400084903;Dachanlage;3,68;3,68;18.05.2010;11.05.2020;Hamburg;21147;Hamburg;16.0;SÃ¼d-West;18.05.2010;[53.4781843, 9.8768076];4039
SEE942663341260;Haus 15;5,4;4;11.10.2007;11.05.2020;Hamburg;22395;Hamburg;24.0;SÃ¼d;11.10.2007;[53.6667313, 10.1165789];4039
SEE981581173744;ABR900148799692;9,24;9;21.10.2011;11.05.2020;Hamburg;22359;Hamburg;44.0;SÃ¼d;21.10.2011;[53.655975, 10.1629858];4039
SEE956633416490;Dach RuhrstraÃe;59,25;13,5;08.09.2011;11.05.2020;Hamburg;22761;Hamburg;330.0;;08.09.2011;[53.550341, 10.000654];4039
SEE908888829341;SÃ¼dseite 50Â° Dach;4,7;4,2;30.11.2011;11.05.2020;Hamburg;21129;Hamburg;20.0;SÃ¼d;30.11.2011;[53.5259453, 9.8372267];4039
SEE941525892162;Hausdach PV-Anlage;2,88;2,88;08.07.2009;11.05.2020;Hamburg;22117;Hamburg;16.0;SÃ¼d;08.07.2009;[53.5437641, 10.0099133];4039
SEE996825657836;Tatenberger Hinterhof;4,95;4,2;17.07.2007;11.05.2020;Hamburg;21037;Hamburg;30.0;SÃ¼d-Ost;17.07.2007;[53.4351527, 10.1484351];4039
SEE965063988842;Photovoltaik SG14;5,2;5;30.05.2013;11.05.2020;Hamburg;22547;Hamburg;26.0;SÃ¼d;30.05.2013;[53.5991257, 9.8775211];4039
SEE918704877203;Solaranlage;5,61;5,61;14.10.2008;11.05.2020;Hamburg;22041;Hamburg;33.0;SÃ¼d;14.10.2008;[53.550341, 10.000654];4039
SEE918378650454;Hausdach;1,88;1,88;20.10.2010;11.05.2020;Hamburg;22457;Hamburg;8.0;SÃ¼d;20.10.2010;[53.6375593, 9.9110214];4039
SEE976725927185;PV-Anlage LuBu_20d;3,82;3,5;08.04.2010;11.05.2020;Hamburg;22529;Hamburg;17.0;SÃ¼d;08.04.2010;[53.550341, 10.000654];4039
SEE940505730708;PV-Anlage;9,3;8;20.11.2019;11.05.2020;Hamburg;21035;Hamburg;30.0;SÃ¼d;20.11.2019;[53.482356, 10.1714862];4039
SEE997062324857;Allesgutekommtvonoben;8,82;8,25;05.07.2013;11.05.2020;Hamburg;22525;Hamburg;36.0;SÃ¼d;05.07.2013;[53.550341, 10.000654];4039
SEE943530178576;Softhouse A;2,4;2,4;08.03.2013;08.08.2020;Hamburg;21109;Hamburg;8.0;SÃ¼d;08.03.2013;[53.550341, 10.000654];4039
SEE962107206238;PV-Anlage Dach;6,45;6,45;08.06.2007;12.05.2020;Hamburg;22395;Hamburg;30.0;SÃ¼d-West;08.06.2007;[53.6667313, 10.1165789];4039
SEE977878846019;Solar 97565;6,93;6,93;26.10.2007;12.05.2020;Hamburg;20537;Hamburg;33.0;SÃ¼d;26.10.2007;[53.550341, 10.000654];4039
SEE916889654237;Solaranlage;5,46;2,55;18.08.2009;12.05.2020;Hamburg;21147;Hamburg;26.0;SÃ¼d;18.08.2009;[53.4781843, 9.8768076];4039
SEE993185682850;strahlendes glÃ¼ck;9,4;9,2;15.09.2011;16.11.2020;Hamburg;22395;Hamburg;40.0;SÃ¼d;18.10.2011;[53.6667313, 10.1165789];4039
SEE953901771480;Photovoltaik 1. OG;13,2;13,2;20.09.2013;12.05.2020;Hamburg;20097;Hamburg;40.0;SÃ¼d;20.09.2013;[53.550341, 10.000654];4039
SEE958112377179;98366;4,08;4,08;13.09.2011;12.05.2020;Hamburg;21149;Hamburg;38.0;SÃ¼d;13.09.2011;[53.467191, 9.8560631];4039
SEE980017062645;Hausdach;6,11;6;01.12.2009;12.05.2020;Hamburg;22391;Hamburg;26.0;SÃ¼d;01.12.2009;[53.550341, 10.000654];4039
SEE974353550362;97755;4,14;4;21.08.2009;12.05.2020;Hamburg;22393;Hamburg;18.0;SÃ¼d;21.08.2009;[53.6477044, 10.1151804];4039
SEE981185035516;Solarka;3,57;3,57;27.07.2014;12.05.2020;Hamburg;22549;Hamburg;11.0;SÃ¼d;27.07.2014;[53.5846012, 9.8593302];4039
SEE947491176015;Hausdach;25,9;25,9;01.01.2011;12.05.2020;Hamburg;22143;Hamburg;;SÃ¼d-Ost;01.01.2011;[53.6065558, 10.1637302];4039
SEE989396603227;Olav;6,5;6,5;15.06.2011;12.05.2020;Hamburg;22457;Hamburg;25.0;SÃ¼d-Ost;15.06.2011;[53.6375593, 9.9110214];4039
SEE930939329258;Hausdach;3,44;3,44;10.12.2009;12.05.2020;Hamburg;21077;Hamburg;16.0;SÃ¼d-Ost;10.12.2009;[53.550341, 10.000654];4039
SEE904491067828;Hausdach;7,36;6,1;16.04.2010;12.05.2020;Hamburg;22359;Hamburg;32.0;SÃ¼d-West;16.04.2010;[53.655975, 10.1629858];4039
SEE959894384959;Aussenhallensolar;58,95;53;24.06.2010;12.05.2020;Hamburg;22559;Hamburg;786.0;SÃ¼d;24.06.2010;[53.58054, 9.7559251];4039
SEE901399416277;Hausdach;4,32;4;02.08.2010;12.05.2020;Hamburg;22523;Hamburg;18.0;SÃ¼d-West;02.08.2010;[53.611792, 9.8940385];4039
SEE916080278652;Sound Yard;5,72;4,6;13.10.2010;12.05.2020;Hamburg;21031;Hamburg;26.0;SÃ¼d;13.10.2010;[53.507818, 10.195355];4039
SEE915438595816;Vorderhaus;5,07;4,6;19.12.2011;12.05.2020;Hamburg;22549;Hamburg;26.0;SÃ¼d;19.12.2011;[53.5846012, 9.8593302];4039
SEE993475644490;30kW;30;30;25.04.2018;12.05.2020;Hamburg;22177;Hamburg;100.0;SÃ¼d;25.04.2018;[53.550341, 10.000654];4039
SEE958979748860;9.9kW;9,9;9,9;25.04.2018;12.05.2020;Hamburg;22177;Hamburg;33.0;SÃ¼d;25.04.2018;[53.550341, 10.000654];4039
SEE984106055822;FamSW-Solar;7,92;7,92;09.06.2010;12.05.2020;Hamburg;21029;Hamburg;33.0;SÃ¼d;09.06.2010;[53.4868773, 10.2233996];1736
SEE932138139324;Photovoltaic;6,21;6,21;03.11.2010;13.05.2020;Hamburg;22359;Hamburg;28.0;SÃ¼d;03.11.2010;[53.655975, 10.1629858];4039
SEE940430187745;Wohnhaus;5;5;15.12.2008;13.05.2020;Hamburg;22589;Hamburg;20.0;SÃ¼d;15.12.2008;[53.5780697, 9.8129384];4039
SEE949111072899;Solaranlage;2,52;2,52;03.12.2010;13.05.2020;Hamburg;22395;Hamburg;6.0;SÃ¼d-West;03.12.2010;[53.6667313, 10.1165789];4039
SEE991544468091;Hausdach;6,13;6,13;28.11.2012;13.05.2020;Hamburg;22523;Hamburg;9.0;SÃ¼d-Ost;28.11.2012;[53.611792, 9.8940385];4039
SEE919556198829;Dach;2,53;2,13;09.09.2011;13.05.2020;Hamburg;22453;Hamburg;11.0;SÃ¼d-West;09.09.2011;[53.550341, 10.000654];4039
SEE987171517530;Dr.Gast-Krumdals Weg;19,44;16,5;29.06.2010;13.05.2020;Hamburg;22587;Hamburg;108.0;SÃ¼d;29.06.2010;[53.5639997, 9.8092706];4039
SEE961714110723;Hausdach;9,66;9,66;15.04.2011;13.05.2020;Hamburg;22397;Hamburg;42.0;SÃ¼d-Ost;15.04.2011;[53.6922599, 10.1080226];4039
SEE931187575299;Schafstall 45,38 kWp;45,38;45;21.12.2009;13.05.2020;Hamburg;21109;Hamburg;170.0;SÃ¼d-West;21.12.2009;[53.550341, 10.000654];4039
SEE926654097893;Photovoltaik;4,08;4,08;24.11.2011;13.05.2020;Hamburg;22159;Hamburg;17.0;SÃ¼d-West;24.11.2011;[53.615857, 10.1196276];4039
SEE919800588963;Reitstall 78,38 kWp;78,38;78;30.12.2009;13.05.2020;Hamburg;21109;Hamburg;290.0;SÃ¼d-West;30.12.2009;[53.550341, 10.000654];4039
SEE945632724460;97730;2,94;2,5;26.06.2008;13.05.2020;Hamburg;22145;Hamburg;14.0;SÃ¼d-West;26.06.2008;[53.6281342, 10.16261];4039
SEE977259627404;Solaranlage 3,45;3,45;3,45;31.10.2008;13.05.2020;Hamburg;21037;Hamburg;46.0;SÃ¼d;31.10.2008;[53.4351527, 10.1484351];4039
SEE980217476174;Dach20;3,74;3,3;27.11.2007;13.05.2020;Hamburg;22175;Hamburg;22.0;SÃ¼d;27.11.2007;[53.6268746, 10.1015902];4039
SEE969090106262;PV Jagersredder 1b;1,05;1,05;29.05.2009;13.05.2020;Hamburg;22397;Hamburg;12.0;SÃ¼d-Ost;29.05.2009;[53.6922599, 10.1080226];4039
SEE994439448871;Hausdach_TGB20;4,76;4,5;17.11.2011;13.05.2020;Hamburg;21035;Hamburg;20.0;SÃ¼d;17.11.2011;[53.482356, 10.1714862];4039
SEE981012757635;ASO-658040-11;48,3;48,3;24.08.2011;13.05.2020;Hamburg;21129;Hamburg;210.0;SÃ¼d;24.08.2011;[53.5259453, 9.8372267];4039
SEE986665856469;Hausdach;5,64;5;27.11.2009;13.05.2020;Hamburg;22399;Hamburg;24.0;SÃ¼d-West;27.11.2009;[53.6638384, 10.0722229];4039
SEE947831930161;Hausdach;6,44;5,9;30.12.2010;13.05.2020;Hamburg;22397;Hamburg;28.0;SÃ¼d;30.12.2010;[53.6922599, 10.1080226];4039
SEE919818886945;Horst1;3,56;3,3;29.12.2006;13.05.2020;Hamburg;21039;Hamburg;22.0;SÃ¼d;29.12.2006;[53.4513175, 10.2547253];1736
SEE962975502487;Hausdach;5,16;5;18.05.2010;13.05.2020;Hamburg;22393;Hamburg;24.0;SÃ¼d-West;18.05.2010;[53.6477044, 10.1151804];4039
SEE938573778005;Solar Dach;3,6;3,6;01.08.2011;14.05.2020;Hamburg;22589;Hamburg;18.0;SÃ¼d-West;01.08.2011;[53.5780697, 9.8129384];4039
SEE924449215958;PV-Anlage;11,4;11,4;06.09.2011;14.05.2020;Hamburg;22395;Hamburg;57.0;SÃ¼d;06.09.2011;[53.6667313, 10.1165789];4039
SEE994078366352;SolaranlageIsland6;4,3;4;03.03.2011;19.11.2020;Hamburg;22145;Hamburg;20.0;SÃ¼d-Ost;03.03.2011;[53.6281342, 10.16261];4039
SEE977113416076;Grosse Anlage;11,5;11,5;09.12.2008;14.05.2020;Hamburg;22359;Hamburg;5.0;SÃ¼d-West;09.12.2008;[53.655975, 10.1629858];4039
SEE954595140194;Kleine Anlage;3,45;3,45;09.12.2008;14.05.2020;Hamburg;22359;Hamburg;3.0;SÃ¼d-West;09.12.2008;[53.655975, 10.1629858];4039
SEE953028012022;Halle;104,28;97,5;18.11.2011;15.05.2020;Hamburg;21129;Hamburg;474.0;West;18.11.2011;[53.5259453, 9.8372267];4039
SEE974587982267;Hauptverwaltung Parkhaus;63,36;57,2;15.12.2009;05.06.2020;Hamburg;22089;Hamburg;220.0;SÃ¼d;15.12.2009;[53.550341, 10.000654];4039
SEE956517499977;Hausdach;4,36;4,36;27.05.2011;14.05.2020;Hamburg;22523;Hamburg;18.0;SÃ¼d;27.05.2011;[53.611792, 9.8940385];4039
SEE936744148114;Hausdach;1,637;1,6;04.09.2015;14.05.2020;Hamburg;22159;Hamburg;6.0;SÃ¼d;04.09.2015;[53.615857, 10.1196276];4039
SEE984266691717;Halle 21,34kWp;21,34;21,34;24.11.2011;15.05.2020;Hamburg;21129;Hamburg;97.0;SÃ¼d;24.11.2011;[53.5259453, 9.8372267];4039
SEE904988956888;GoldkÃ¤ferweg 66;6,96;3;11.11.2011;15.05.2020;Hamburg;22523;Hamburg;29.0;SÃ¼d-Ost;11.11.2011;[53.611792, 9.8940385];4039
SEE927030322219;PV Ribenweg 31;6,192;6;29.10.2009;15.05.2020;Hamburg;21037;Hamburg;36.0;Ost;29.10.2009;[53.4351527, 10.1484351];4039
SEE984545498990;Solaranlage;7,74;6,6;11.12.2009;15.05.2020;Hamburg;22399;Hamburg;36.0;SÃ¼d-Ost;11.12.2009;[53.6638384, 10.0722229];4039
SEE957867755713;PV Krummer Hagen 28;10,92;10;30.07.2007;15.05.2020;Hamburg;21037;Hamburg;56.0;SÃ¼d;30.07.2007;[53.4351527, 10.1484351];4039
SEE935047068907;Solar Strom;4,84;4,2;29.12.2008;18.06.2020;Hamburg;21129;Hamburg;22.0;SÃ¼d;29.12.2008;[53.5259453, 9.8372267];4039
SEE927229259074;97788;5,29;5,29;06.09.2009;15.05.2020;Hamburg;22393;Hamburg;23.0;SÃ¼d;06.09.2009;[53.6477044, 10.1151804];4039
SEE945112919423;Hausdach;4,95;4,95;24.08.2010;15.05.2020;Hamburg;22417;Hamburg;30.0;SÃ¼d;24.08.2010;[53.6704119, 10.0270286];4039
SEE904362458106;Reithallendach;52,92;52,92;04.05.2010;15.05.2020;Hamburg;22523;Hamburg;294.0;SÃ¼d;04.05.2010;[53.611792, 9.8940385];4039
SEE903384252013;Sonnenschein;5,85;4,3;30.11.2011;15.05.2020;Hamburg;21077;Hamburg;30.0;SÃ¼d;30.11.2011;[53.550341, 10.000654];4039
SEE924271790418;PoppenbÃ¼tteler Berg 162;18,48;18;01.06.2011;15.05.2020;Hamburg;22399;Hamburg;100.0;SÃ¼d;01.06.2011;[53.6638384, 10.0722229];4039
SEE956854370175;Dach PV Anlage;2,4;1,95;15.12.2010;15.05.2020;Hamburg;22359;Hamburg;;SÃ¼d-Ost;15.12.2010;[53.655975, 10.1629858];4039
SEE909046825281;Hausdach SÃ¼d-Ost;2,42;2,42;27.03.2007;15.05.2020;Hamburg;22399;Hamburg;10.0;SÃ¼d-Ost;27.03.2007;[53.6638384, 10.0722229];4039
SEE932681975943;Sonne auf's Hausdach;4,83;4;24.11.2009;15.05.2020;Hamburg;22119;Hamburg;23.0;SÃ¼d-West;24.11.2009;[53.550341, 10.000654];4039
SEE926571893707;Netzbetreiber Identifikation 97675;1,61;1,61;16.06.2009;15.05.2020;Hamburg;22159;Hamburg;7.0;SÃ¼d;19.06.2009;[53.615857, 10.1196276];4039
SEE978391968134;PV-Anlage_Hausdach;2,88;2,88;05.12.2011;15.05.2020;Hamburg;22559;Hamburg;12.0;SÃ¼d-Ost;05.12.2011;[53.58054, 9.7559251];4039
SEE953466888241;Hausdach;4,83;4;11.09.2007;16.05.2020;Hamburg;22397;Hamburg;23.0;SÃ¼d;11.09.2007;[53.6922599, 10.1080226];4039
SEE979844272051;Hallendach Einspeisung_2009;30,15;27;04.08.2009;16.05.2020;Hamburg;21129;Hamburg;402.0;SÃ¼d;04.08.2009;[53.5259453, 9.8372267];4039
SEE912362098703;Anlage 2_B;12,96;4;14.03.2008;16.05.2020;Hamburg;20457;Hamburg;144.0;SÃ¼d-Ost;14.03.2008;[53.550341, 10.000654];4039
SEE951371754286;PV-Anlage LDW 7;5,1;2,8;02.12.2008;16.05.2020;Hamburg;22453;Hamburg;30.0;SÃ¼d;02.12.2008;[53.550341, 10.000654];4039
SEE983867190896;Anlage 1_ D;25,92;4;14.03.2008;16.05.2020;Hamburg;20457;Hamburg;288.0;SÃ¼d-Ost;14.03.2008;[53.550341, 10.000654];4039
SEE913234417912;Hausdach;5,2;0,13;14.06.2007;16.05.2020;Hamburg;22455;Hamburg;40.0;SÃ¼d;14.06.2007;[53.550341, 10.000654];4039
SEE991433297221;GOOSACKER;1,02;1,02;23.11.2011;17.05.2020;Hamburg;22549;Hamburg;;SÃ¼d;23.11.2011;[53.5846012, 9.8593302];4039
SEE945144255131;Hausdach;4,44;4;28.07.2008;17.05.2020;Hamburg;21129;Hamburg;24.0;SÃ¼d;28.07.2008;[53.5259453, 9.8372267];4039
SEE948608733725;Hausdach;7,2;6,5;11.11.2011;17.05.2020;Hamburg;21129;Hamburg;30.0;SÃ¼d;11.11.2011;[53.5259453, 9.8372267];4039
SEE903670130803;Hamburg1;3,2;3,2;26.11.2009;17.05.2020;Hamburg;22145;Hamburg;40.0;SÃ¼d-Ost;26.11.2009;[53.6281342, 10.16261];4039
SEE946207523631;Deichvogt-Peterstrasse 17a;6,44;6;05.08.2009;17.05.2020;Hamburg;21037;Hamburg;28.0;SÃ¼d;05.08.2009;[53.4351527, 10.1484351];4039
SEE988466858840;Deichvogt-Petersstrasse 17;7,92;7,92;28.06.2010;17.05.2020;Hamburg;21037;Hamburg;33.0;SÃ¼d;28.06.2010;[53.4351527, 10.1484351];4039
SEE967491064273;StromVolksdorf;2,5;2,3;16.12.2010;17.05.2020;Hamburg;22359;Hamburg;12.0;SÃ¼d-West;16.12.2010;[53.655975, 10.1629858];4039
SEE971467673642;Hausdach;6,88;6,88;21.11.2011;17.05.2020;Hamburg;21147;Hamburg;27.0;SÃ¼d-Ost;21.11.2011;[53.4781843, 9.8768076];4039
SEE911814262280;Esche;1,05;1,05;19.12.2008;17.05.2020;Hamburg;22525;Hamburg;1.0;SÃ¼d-West;02.01.2009;[53.550341, 10.000654];4039
SEE990502803448;GbRHausdach;4;4;29.05.2008;18.05.2020;Hamburg;22457;Hamburg;20.0;SÃ¼d;29.05.2008;[53.6375593, 9.9110214];4039
SEE943147777773;Terrasse;3,24;3;27.03.2009;18.05.2020;Hamburg;22175;Hamburg;18.0;SÃ¼d;27.03.2009;[53.6268746, 10.1015902];4039
SEE957936239205;Openhouse;69,84;65;30.06.2011;18.05.2020;Hamburg;21107;Hamburg;291.0;SÃ¼d;30.06.2011;[53.550341, 10.000654];4039
SEE953028723331;Kita Wunderland;8,4;8,4;28.06.2010;20.05.2020;Hamburg;21147;Hamburg;84.0;;28.06.2010;[53.4781843, 9.8768076];4039
SEE908714048533;Sonne;6,105;5,3;13.10.2006;18.05.2020;Hamburg;21029;Hamburg;33.0;SÃ¼d;13.10.2006;[53.4868773, 10.2233996];1736
SEE985248006833;Solarstrom;5,04;5;17.11.2006;18.05.2020;Hamburg;21033;Hamburg;28.0;SÃ¼d-Ost;17.11.2006;[53.5010368, 10.1796657];4039
SEE956229665257;PV2008;5,4;4,6;06.11.2008;18.05.2020;Hamburg;21077;Hamburg;60.0;SÃ¼d-Ost;06.11.2008;[53.550341, 10.000654];4039
SEE910821379882;PV2009;1,6;1,6;23.07.2009;18.05.2020;Hamburg;21077;Hamburg;9.0;SÃ¼d;23.07.2009;[53.550341, 10.000654];4039
SEE970267179583;PV Hein-SaÃ-Stieg;48,3;40,5;30.08.2011;20.05.2020;Hamburg;21129;Hamburg;210.0;SÃ¼d;30.08.2011;[53.5259453, 9.8372267];4039
SEE901735680676;Halle;6,38;5;27.05.2009;19.05.2020;Hamburg;21037;Hamburg;92.0;SÃ¼d;27.05.2009;[53.4351527, 10.1484351];4039
SEE903702200412;Haus am Fleet;1,44;1,44;12.10.2010;19.05.2020;Hamburg;21035;Hamburg;1.0;SÃ¼d;12.10.2010;[53.482356, 10.1714862];4039
SEE956113827129;Frahmredder 140;8;8;24.11.2010;19.05.2020;Hamburg;22393;Hamburg;;;24.11.2010;[53.6477044, 10.1151804];4039
SEE982112783463;Hausdach;2,1;1,7;15.04.2008;19.05.2020;Hamburg;22523;Hamburg;36.0;SÃ¼d;15.04.2008;[53.611792, 9.8940385];4039
SEE911808592058;Sonnezustrom;2,76;2,76;17.12.2008;19.05.2020;Hamburg;22589;Hamburg;12.0;SÃ¼d;17.12.2008;[53.5780697, 9.8129384];4039
SEE914262387338;Hausdach;3,48;3,48;09.07.2010;19.05.2020;Hamburg;22175;Hamburg;17.0;SÃ¼d-West;09.07.2010;[53.6268746, 10.1015902];4039
SEE949735683259;Solaranlage;4,6;4,6;29.09.2010;19.05.2020;Hamburg;22549;Hamburg;28.0;SÃ¼d-Ost;29.09.2010;[53.5846012, 9.8593302];4039
SEE953120935861;Solaranlage1;2,97;2,97;20.12.2006;19.05.2020;Hamburg;22419;Hamburg;18.0;SÃ¼d;20.12.2006;[53.550341, 10.000654];4039
SEE992263645169;PV Hinschenfelde;12,9;12,9;10.09.2009;20.05.2020;Hamburg;22047;Hamburg;60.0;SÃ¼d;10.09.2009;[53.550341, 10.000654];4039
SEE948727681839;PVIW01-Dach;5,67;4,6;11.10.2004;21.05.2020;Hamburg;21077;Hamburg;35.0;SÃ¼d;11.10.2004;[53.550341, 10.000654];4039
SEE920394452950;Buchenhaus;4,41;3,9;19.12.2011;21.05.2020;Hamburg;21031;Hamburg;18.0;SÃ¼d;19.12.2011;[53.507818, 10.195355];4039
SEE923424158181;"Solaranlage ""ÃkoSolar""";9,46;8;21.08.2009;21.05.2020;Hamburg;21035;Hamburg;44.0;SÃ¼d;21.08.2009;[53.482356, 10.1714862];4039
SEE908278431499;Solar BR28Hopp;2,3;2,3;27.04.2009;22.05.2020;Hamburg;22589;Hamburg;8.0;SÃ¼d;27.04.2009;[53.5780697, 9.8129384];4039
SEE974907287522;97576;8,24;8,24;04.05.2010;22.05.2020;Hamburg;22359;Hamburg;1.0;SÃ¼d;04.05.2010;[53.655975, 10.1629858];4039
SEE913361111943;S-Solar;9;9;24.06.2010;22.05.2020;Hamburg;22043;Hamburg;30.0;SÃ¼d-Ost;24.06.2010;[53.550341, 10.000654];4039
SEE945841429255;SÃ¼ddach;4,68;4;25.03.2010;22.05.2020;Hamburg;22359;Hamburg;26.0;SÃ¼d;25.03.2010;[53.655975, 10.1629858];4039
SEE914384231113;Solar_HH;5,64;5;13.05.2011;22.05.2020;Hamburg;22549;Hamburg;24.0;SÃ¼d;13.05.2011;[53.5846012, 9.8593302];4039
SEE920480100697;Garagendach;2,73;2,5;01.12.2011;22.05.2020;Hamburg;22395;Hamburg;14.0;SÃ¼d;01.12.2011;[53.6667313, 10.1165789];4039
SEE983624321099;Hausdach;3,15;3;03.07.2008;22.05.2020;Hamburg;21149;Hamburg;15.0;SÃ¼d;03.07.2008;[53.467191, 9.8560631];4039
SEE999239173893;Anl001;44,415;33;28.06.2012;23.05.2020;Hamburg;21109;Hamburg;189.0;SÃ¼d;28.06.2012;[53.550341, 10.000654];4039
SEE988599748681;PVHK20;6,53;6,53;06.12.2011;23.05.2020;Hamburg;22149;Hamburg;45.0;SÃ¼d-Ost;06.12.2011;[53.5919645, 10.1620723];4039
SEE991804531534;Solaranlage Kiefernhain;2,73;2,73;26.11.2009;24.05.2020;Hamburg;22297;Hamburg;13.0;SÃ¼d-Ost;26.11.2009;[53.550341, 10.000654];4039
SEE933440126750;Dachsolaranlage;4,27;3,68;04.05.2015;24.05.2020;Hamburg;22145;Hamburg;14.0;SÃ¼d-Ost;04.05.2015;[53.6281342, 10.16261];4039
SEE906746065900;Solar Star;1,78;1,55;07.09.2007;24.05.2020;Hamburg;22589;Hamburg;12.0;West;07.09.2007;[53.5780697, 9.8129384];4039
SEE975803447515;Photovoltaik;5,25;5,25;13.07.2012;24.05.2020;Hamburg;22397;Hamburg;21.0;SÃ¼d;13.07.2012;[53.6922599, 10.1080226];4039
SEE917615992012;Westdach;5,2;5,2;28.12.2012;24.05.2020;Hamburg;22397;Hamburg;26.0;West;28.12.2012;[53.6922599, 10.1080226];4039
SEE942231949102;Hausdach;4,83;4;18.07.2011;25.05.2020;Hamburg;21077;Hamburg;21.0;SÃ¼d;18.07.2011;[53.550341, 10.000654];4039
SEE978153753107;SÃ¼dseite;1,225;1,225;03.03.2009;25.05.2020;Hamburg;22547;Hamburg;7.0;SÃ¼d;03.03.2009;[53.5991257, 9.8775211];4039
SEE906586810982;Ost;23,9;18,4;03.04.2009;25.05.2020;Hamburg;21039;Hamburg;266.0;Ost;03.04.2009;[53.4513175, 10.2547253];1736
SEE907713301687;West;29,97;27;22.12.2010;25.05.2020;Hamburg;21039;Hamburg;390.0;West;22.12.2010;[53.4513175, 10.2547253];1736
SEE912097631978;Werkstatt;17,57;17;05.03.2012;25.05.2020;Hamburg;21039;Hamburg;84.0;Ost-West;05.03.2012;[53.4513175, 10.2547253];1736
SEE943066936893;Dach PV;4,84;3,6;07.12.2009;25.05.2020;Hamburg;22399;Hamburg;22.0;SÃ¼d-Ost;07.12.2009;[53.6638384, 10.0722229];4039
SEE955079933509;Hausdach;6,12;6;16.02.2011;14.05.2020;Hamburg;22419;Hamburg;36.0;SÃ¼d;16.02.2011;[53.550341, 10.000654];4039
SEE978498621482;StÃ¼lcken;4,2;4,1;19.12.2006;26.05.2020;Hamburg;22397;Hamburg;20.0;SÃ¼d-West;19.12.2006;[53.6922599, 10.1080226];4039
SEE970802243137;Dach-Solar;2,2;2,2;22.02.2012;26.05.2020;Hamburg;22589;Hamburg;9.0;SÃ¼d;22.02.2012;[53.5780697, 9.8129384];4039
SEE920737918723;Anlage Anne-Frank;4,8;4;21.09.2011;16.11.2020;Hamburg;22175;Hamburg;1.0;SÃ¼d;21.09.2011;[53.6268746, 10.1015902];4039
SEE996724671742;Solarti-5KW;5,01;5,01;29.06.2011;26.05.2020;Hamburg;21147;Hamburg;30.0;SÃ¼d;29.06.2011;[53.4781843, 9.8768076];4039
SEE981312883140;PV;3,52;3,52;29.10.2009;26.05.2020;Hamburg;22159;Hamburg;16.0;SÃ¼d;29.10.2009;[53.615857, 10.1196276];4039
SEE935298770642;Anlage 1/76;5,28;4,6;24.09.2010;26.05.2020;Hamburg;21037;Hamburg;22.0;SÃ¼d;24.09.2010;[53.4351527, 10.1484351];4039
SEE957076168380;Anlage 2/93;2,16;2;23.08.2011;26.05.2020;Hamburg;21037;Hamburg;9.0;SÃ¼d;23.08.2011;[53.4351527, 10.1484351];4039
SEE992839503183;PV Anlage ISW6h;2,07;2,07;11.08.2011;27.05.2020;Hamburg;22149;Hamburg;9.0;SÃ¼d-West;11.08.2011;[53.5919645, 10.1620723];4039
SEE977679375206;KLIMASCHUTZ;1,4;1,32;10.06.2008;18.05.2020;Hamburg;22045;Hamburg;8.0;SÃ¼d;10.06.2008;[53.5839495, 10.1308382];4039
SEE977703789276;Hausdach;1,02;1,02;30.06.2011;27.05.2020;Hamburg;22043;Hamburg;10.0;SÃ¼d-Ost;30.06.2011;[53.550341, 10.000654];4039
SEE905401069178;Hallendach Einspeisung_2009;31,5;28;04.08.2009;27.05.2020;Hamburg;21129;Hamburg;420.0;SÃ¼d;04.08.2009;[53.5259453, 9.8372267];4039
SEE988412303882;Hallendach Einspeisung_2010;30;30;28.06.2010;27.05.2020;Hamburg;21129;Hamburg;400.0;Ost;28.06.2010;[53.5259453, 9.8372267];4039
SEE977438989293;Solaranlage CPG;4,9;4,9;08.01.2013;28.05.2020;Hamburg;22041;Hamburg;20.0;SÃ¼d-West;08.01.2013;[53.550341, 10.000654];4039
