ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor
PR3_DIT_108;Dithmarschen;Dithmarschen;Brunsbüttel;Brunsbüttel;29,8;29,8
PR3_DIT_109;Dithmarschen;Dithmarschen;Diekhusen-Fahrstedt, Neufeld,Schmedeswurth;Diekhusen-Fahrstedt, Neufeld,Schmedeswurth;144,9;143,5
PR3_DIT_110;Dithmarschen;Dithmarschen;Brunsbüttel, Neufeld, Schmedeswurth;Brunsbüttel, Neufeld;330,3;322,6
PR3_DIT_111;Dithmarschen;-;Brunsbüttel;-;34,1;-
PR3_DIT_112;Dithmarschen;-;Brunsbüttel;-;61,3;-
PR3_DIT_134;Dithmarschen;-;Bergewöhrden, Hennstedt, Süderstapel;-;185,8;-
PR3_DIT_301;Dithmarschen;-;Lehe;-;139,8;-
PR3_DIT_302;Dithmarschen;-;Lehe, St. Annen;-;63;-
PR3_DIT_303;Dithmarschen;-;Fedderingen;-;52,1;-
PR3_DIT_304;Dithmarschen;-;Fedderingen, Stelle-Wittenwurth,Weddingstedt, Wiemerstedt;-;255,2;-
PR3_DIT_305;Dithmarschen;-;Dellstedt, Tielenhemme;-;20,7;-
PR3_DIT_307;Dithmarschen;-;Heide;-;36,8;-
PR3_DIT_309;Dithmarschen;-;Bargenstedt, Epenwöhrden, Hemmingstedt,Meldorf, Nindorf, Sarzbüttel;-;974,5;-
PR3_DIT_310;Dithmarschen;-;Nordhastedt, Odderade, Sarzbüttel;-;306,6;-
PR3_DIT_312;Dithmarschen;-;Elpersbüttel, Krumstedt, Nindorf,Windbergen, Wolmersdorf;-;403,1;-
PR3_DIT_314;Dithmarschen;-;Frestedt, Krumstedt, Süderhastedt;-;201,7;-
PR3_DIT_317;Dithmarschen;-;Kaiser-Wilhelm-Koog;-;18;-
PR3_DIT_401;Dithmarschen;-;Lehe;-;86,4;-
PR3_DIT_402;Dithmarschen;-;Groven;-;29;-
PR3_DIT_403;Dithmarschen;-;Delve, Glüsing, Pahlen, Schalkholz, Wallen;-;204,7;-
PR3_DIT_405;Dithmarschen;-;Süderdorf;-;23,1;-
PR3_DIT_406;Dithmarschen;-;Bunsoh, Offenbüttel;-;24,5;-
PR3_DIT_407;Dithmarschen;-;Norderwöhrden;-;30,7;-
PR3_DIT_408;Dithmarschen;-;Lohe-Rickelshof;-;17,4;-
PR3_DIT_409;Dithmarschen;Dithmarschen;Krumstedt, Tensbüttel-Röst;Krumstedt, Tensbüttel-Röst;29,2;28,9
PR3_DIT_410;Dithmarschen;-;Krumstedt, Schafstedt;-;32,6;-
PR3_DIT_411;Dithmarschen;-;Süderhastedt;-;19,6;-
PR3_DIT_412;Dithmarschen;-;Eggstedt, Holstenniendorf, Schafstedt;-;105,8;-
PR3_DIT_413;Dithmarschen;-;Averlak, Buchholz, Burg (Dithmarschen),Kuden;-;203,3;-
PR3_DIT_414;Dithmarschen;-;Buchholz, Kuden;-;58,6;-
PR3_DIT_415;Dithmarschen;-;Averlak;-;32,3;-
PR3_DIT_416;Dithmarschen;-;Volsemenhusen;-;26,5;-
PR3_DIT_417;Dithmarschen;-;Schmedeswurth;-;23,3;-
PR3_DIT_418;Dithmarschen;Dithmarschen;Friedrichskoog;Friedrichskoog;27,4;27,4
PR3_DIT_419;Dithmarschen;Dithmarschen;Kronprinzenkoog;Kronprinzenkoog;15;15
PR3_DIT_501;Dithmarschen;-;Karolinenkoog;-;25;-
PR3_DIT_094;Dithmarschen;Dithmarschen;Friedrichskoog, Kronprinzenkoog;Friedrichskoog, Kronprinzenkoog;328,2;317,4
PR3_DIT_099;Dithmarschen;Dithmarschen;Friedrichskoog, Kronprinzenkoog;Friedrichskoog, Kronprinzenkoog;72,9;72,9
PR3_DIT_101;Dithmarschen;Dithmarschen;Friedrichskoog, Kaiser?Wilhelm?Koog;Friedrichskoog, Kaiser?Wilhelm?Koog;48,5;48,5
PR3_LAU_001;Herzogtum Lauenburg;Herzogtum Lauenburg;Bliestorf, Kastorf, Siebenbäumen;Bliestorf, Kastorf, Siebenbäumen;229,9;86,4
PR3_LAU_002;Herzogtum Lauenburg;-;Rondeshagen;-;28,1;-
PR3_LAU_003;Herzogtum Lauenburg;-;Berkenthin;-;72,2;-
PR3_LAU_005;Herzogtum Lauenburg;-;Groß Boden, Schürensöhlen, Steinhorst;-;188,7;-
PR3_LAU_006;Herzogtum Lauenburg;Herzogtum Lauenburg;Lasbek, Stubben;Lasbek;131,8;106,2
PR3_LAU_009;Herzogtum Lauenburg;-;Buchholz, Einhaus;-;23,5;-
PR3_LAU_011;Herzogtum Lauenburg;-;Düchelsdorf, Göldenitz, Klinkrade, Niendorfbei Berkenthin, Sierksrade;-;156,8;-
PR3_LAU_012;Herzogtum Lauenburg;-;Behlendorf;-;24,6;-
PR3_LAU_013;Herzogtum Lauenburg;-;Kulpin;-;42,6;-
PR3_LAU_014;Herzogtum Lauenburg;-;Schiphorst, Stubben;-;76,8;-
PR3_LAU_015;Herzogtum Lauenburg;-;Sandesneben, Schiphorst, Steinhorst;-;114,7;-
PR3_LAU_017;Herzogtum Lauenburg;-;Behlendorf;-;31,8;-
PR3_LAU_018;Herzogtum Lauenburg;-;Duvensee, Kühsen, Niendorf bei Berkenthin;-;62,6;-
PR3_LAU_019;Herzogtum Lauenburg;-;Behlendorf;-;40,4;-
PR3_LAU_020;Herzogtum Lauenburg;-;Fredeburg, Giesensdorf, Ratzeburg;-;22,8;-
PR3_LAU_021;Herzogtum Lauenburg;-;Behlendorf, Lankau;-;55,7;-
PR3_LAU_022;Herzogtum Lauenburg;-;Lüchow, Sirksfelde;-;74,6;-
PR3_LAU_023;Herzogtum Lauenburg;-;Schmilau;-;95;-
PR3_LAU_024;Herzogtum Lauenburg;-;Wentorf (Amt Sandesneben);-;22,1;-
PR3_LAU_025;Herzogtum Lauenburg;-;Kühsen, Nusse;-;54;-
PR3_LAU_026;Herzogtum Lauenburg;-;Schmilau;-;89,2;-
PR3_LAU_027;Herzogtum Lauenburg;-;Lankau;-;82,3;-
PR3_LAU_028;Herzogtum Lauenburg;-;Koberg, Ritzerau;-;45,7;-
PR3_LAU_029;Herzogtum Lauenburg;-;Horst, Sterley;-;121,5;-
PR3_LAU_030;Herzogtum Lauenburg;-;Sterley;-;15,4;-
PR3_LAU_031;Herzogtum Lauenburg;-;Koberg, Linau;-;149,8;-
PR3_LAU_032;Herzogtum Lauenburg;-;Horst, Sterley;-;43,4;-
PR3_LAU_033;Herzogtum Lauenburg;Herzogtum Lauenburg;Alt Mölln, Bälau, Panten, Poggensee;Bälau, Panten, Poggensee;382,9;186,5
PR3_LAU_034;Herzogtum Lauenburg;-;Horst, Sterley;-;105,5;-
PR3_LAU_035;Herzogtum Lauenburg;-;Walksfelde;-;25,7;-
PR3_LAU_036;Herzogtum Lauenburg;-;Seedorf;-;58,7;-
PR3_LAU_037;Herzogtum Lauenburg;-;Sterley;-;30,6;-
PR3_LAU_038;Herzogtum Lauenburg;-;Bälau, Borstorf, Breitenfelde,Niendorf/Stecknitz;-;124,2;-
PR3_LAU_039;Herzogtum Lauenburg;-;Hollenbek, Seedorf;-;39,3;-
PR3_LAU_041;Herzogtum Lauenburg;Herzogtum Lauenburg;Breitenfelde;Breitenfelde;82,7;31,8
PR3_LAU_042;Herzogtum Lauenburg;Herzogtum Lauenburg;Breitenfelde, Woltersdorf;Breitenfelde, Woltersdorf;155,8;75,4
PR3_LAU_043;Herzogtum Lauenburg;-;Gudow, Lehmrade;-;93,7;-
PR3_LAU_044;Herzogtum Lauenburg;-;Klein Zecher;-;48,6;-
PR3_LAU_045;Herzogtum Lauenburg;-;Gudow, Hollenbek;-;283,2;-
PR3_LAU_046;Herzogtum Lauenburg;-;Besenthal, Gudow;-;95,7;-
PR3_LAU_047;Herzogtum Lauenburg;-;Besenthal, Göttin;-;123,5;-
PR3_LAU_048;Herzogtum Lauenburg;-;Elmenhorst, Groß Pampau, Kankelau, Sahms;-;92,4;-
PR3_LAU_049;Herzogtum Lauenburg;-;Roseburg;-;40,1;-
PR3_LAU_050;Herzogtum Lauenburg;-;Roseburg;-;34,7;-
PR3_LAU_052;Herzogtum Lauenburg;-;Klein Pampau, Siebeneichen;-;38,3;-
PR3_LAU_053;Herzogtum Lauenburg;-;Fitzen;-;18,8;-
PR3_LAU_054;Herzogtum Lauenburg;-;Brunstorf, Dassendorf;-;114;-
PR3_LAU_055;Herzogtum Lauenburg;-;Brunstorf, Dassendorf, Worth;-;96,2;-
PR3_LAU_056;Herzogtum Lauenburg;-;Büchen, Schulendorf;-;30,7;-
PR3_LAU_057;Herzogtum Lauenburg;-;Bröthen;-;54,1;-
PR3_LAU_058;Herzogtum Lauenburg;-;Hohenhorn;-;17;-
PR3_LAU_059;Herzogtum Lauenburg;-;Schulendorf;-;96,1;-
PR3_LAU_060;Herzogtum Lauenburg;-;Schulendorf;-;25,9;-
PR3_LAU_061;Herzogtum Lauenburg;-;Witzeeze;-;23,3;-
PR3_LAU_062;Herzogtum Lauenburg;Herzogtum Lauenburg;Hamwarde, Kollow, Wiershop;Hamwarde;73,6;19,1
PR3_LAU_063;Herzogtum Lauenburg;Herzogtum Lauenburg;Basedow, Dalldorf, Lütau, Wangelau,Witzeeze;Wangelau, Witzeeze;484,2;99,7
PR3_LAU_064;Herzogtum Lauenburg;-;Gülzow, Kollow, Wiershop;-;150,3;-
PR3_LAU_065;Herzogtum Lauenburg;-;Gülzow, Lütau, Wangelau;-;115,5;-
PR3_LAU_066;Herzogtum Lauenburg;-;Juliusburg;-;57,2;-
PR3_LAU_067;Herzogtum Lauenburg;Herzogtum Lauenburg;Basedow, Juliusburg, Krüzen, Lütau;Basedow, Lütau;222,7;200,9
PR3_LAU_068;Herzogtum Lauenburg;-;Juliusburg, Krukow, Schnakenbek;-;200,7;-
PR3_LAU_069;Herzogtum Lauenburg;-;Krüzen;-;45,5;-
PR3_LAU_070;Herzogtum Lauenburg;-;Buchhorst, Lanze;-;67,3;-
PR3_LAU_071;Herzogtum Lauenburg;-;Schnakenbek;-;26,4;-
PR3_LAU_301;Herzogtum Lauenburg;-;Groß Sarau, Klempau;-;73,2;-
PR3_LAU_302;Herzogtum Lauenburg;-;Groß Sarau, Klempau, Pogeez;-;98,1;-
PR3_LAU_303;Herzogtum Lauenburg;-;Schönberg;-;22,1;-
PR3_LAU_304;Herzogtum Lauenburg;-;Schönberg;-;22,6;-
PR3_LAU_305;Herzogtum Lauenburg;-;Linau;-;21,5;-
PR3_LAU_306;Herzogtum Lauenburg;-;Fuhlenhagen, Talkau;-;24,2;-
PR3_LAU_307;Herzogtum Lauenburg;-;Fuhlenhagen, Schretstaken;-;31,1;-
PR3_LAU_308;Herzogtum Lauenburg;-;Basthorst, Hamfelde, Mühlenrade;-;28,9;-
PR3_LAU_309;Herzogtum Lauenburg;-;Kasseburg, Kuddewörde;-;98,3;-
PR3_LAU_310;Herzogtum Lauenburg;-;Basthorst, Kasseburg, Kuddewörde, Möhnsen;-;51,9;-
PR3_LAU_311;Herzogtum Lauenburg;-;Basthorst, Havekost, Möhnsen;-;95,8;-
PR3_LAU_312;Herzogtum Lauenburg;-;Kasseburg, Möhnsen;-;30,9;-
PR3_LAU_313;Herzogtum Lauenburg;-;Grove, Havekost;-;24,4;-
PR3_LAU_314;Herzogtum Lauenburg;-;Sahms;-;19,2;-
PR3_LAU_315;Herzogtum Lauenburg;-;Müssen;-;72,4;-
PR3_LAU_316;Herzogtum Lauenburg;-;Müssen;-;35,1;-
PR3_LAU_317;Herzogtum Lauenburg;-;Gülzow, Müssen;-;39,8;-
PR3_LAU_318;Herzogtum Lauenburg;-;Brunstorf;-;65,1;-
PR3_LAU_319;Herzogtum Lauenburg;-;Kollow;-;26,2;-
PR3_LAU_320;Herzogtum Lauenburg;-;Worth;-;43,6;-
PR3_LAU_402;Herzogtum Lauenburg;-;Groß Schenkenberg;-;19,4;-
PR3_LAU_403;Herzogtum Lauenburg;-;Geesthacht, Wiershop;-;27,9;-
PR3_LAU_404;Herzogtum Lauenburg;-;Krummesse, Lübeck, Hansestadt;-;67;-
PR3_LAU_501;Herzogtum Lauenburg;-;Krüzen;-;18,8;-
PR1_NFL_002;Nordfriesland;Nordfriesland;Ellhöft, Süderlügum;Ellhöft, Süderlügum;219,3;171,4
PR1_NFL_003;Nordfriesland;Nordfriesland;Ellhöft, Westre;Ellhöft, Westre;238,9;186,5
PR1_NFL_006;Nordfriesland;Nordfriesland;Ellhöft, Süderlügum;Süderlügum;49,2;31
PR1_NFL_009;Nordfriesland;Nordfriesland;Friedrich-Wilhelm-Lübke-Koog, Klanxbüll;Friedrich-Wilhelm-Lübke-Koog,Klanxbüll;41,2;41,2
PR1_NFL_014;Nordfriesland;Nordfriesland;Friedrich-Wilhelm-Lübke-Koog, Klanxbüll;Friedrich-Wilhelm-Lübke-Koog,Klanxbüll;42,3;42,3
PR1_NFL_017;Nordfriesland;-;Karlum, Lexgaard, Westre;-;52,5;-
PR1_NFL_018;Nordfriesland;Nordfriesland;Emmelsbüll-Horsbüll;Emmelsbüll-Horsbüll;18,8;15,2
PR1_NFL_019;Nordfriesland;Nordfriesland;Karlum;Karlum;40,2;34,7
PR1_NFL_022;Nordfriesland;-;Karlum, Lexgaard;-;19,4;-
PR1_NFL_024;Nordfriesland;-;Emmelsbüll-Horsbüll;-;36,6;-
PR1_NFL_025;Nordfriesland;Nordfriesland;Lexgaard, Tinningstedt;Lexgaard, Tinningstedt;33,7;33,7
PR1_NFL_026;Nordfriesland;Nordfriesland;Braderup, Klixbüll, Lexgaard, Tinningstedt;Braderup, Klixbüll, Lexgaard,Tinningstedt;170,8;149,1
PR1_NFL_028;Nordfriesland;Nordfriesland;Emmelsbüll-Horsbüll, Niebüll;Emmelsbüll-Horsbüll, Niebüll;147,2;144,2
PR1_NFL_029;Nordfriesland;Nordfriesland;Achtrup, Karlum, Ladelund;Achtrup, Karlum;125,2;64,1
PR1_NFL_031;Nordfriesland;Nordfriesland;Bosbüll, Klixbüll;Bosbüll, Klixbüll;177,1;33,8
PR1_NFL_032;Nordfriesland;Nordfriesland;Niebüll;Niebüll;69,6;54
PR1_NFL_033;Nordfriesland;-;Achtrup;-;31,7;-
PR1_NFL_035;Nordfriesland;Nordfriesland;Galmsbüll;Galmsbüll;305,2;171,8
PR1_NFL_036;Nordfriesland;Nordfriesland;Achtrup;Achtrup;48,8;48,8
PR1_NFL_037;Nordfriesland;-;Galmsbüll;-;29,9;-
PR1_NFL_038;Nordfriesland;Nordfriesland;Achtrup, Holt, Schafflund, Sprakebüll;Achtrup, Holt, Schafflund, Sprakebüll;752,2;514,3
PR1_NFL_039;Nordfriesland;Nordfriesland;Galmsbüll;Galmsbüll;172;116
PR1_NFL_040;Nordfriesland;Nordfriesland;Klixbüll, Leck;Klixbüll, Leck;45,5;32,6
PR1_NFL_043;Nordfriesland;Nordfriesland;Klixbüll, Risum-Lindholm;Klixbüll, Risum-Lindholm;310,6;303,4
PR1_NFL_044;Nordfriesland;-;Leck, Sprakebüll, Stadum;-;92,9;-
PR1_NFL_045;Nordfriesland;Nordfriesland;Galmsbüll;Galmsbüll;71,9;28,5
PR1_NFL_046;Nordfriesland;Nordfriesland;Leck;Leck;127,9;97,7
PR1_NFL_047;Nordfriesland;Nordfriesland;Dagebüll, Galmsbüll;Galmsbüll;215,4;29,7
PR1_NFL_048;Nordfriesland;Nordfriesland;Sprakebüll;Sprakebüll;50,2;50,2
PR1_NFL_049;Nordfriesland;Nordfriesland;Risum-Lindholm, Stedesand;Stedesand;41,4;20,4
PR1_NFL_050;Nordfriesland;-;Sprakebüll, Stadum;-;62,5;-
PR1_NFL_051;Nordfriesland;-;Galmsbüll;-;45,8;-
PR1_NFL_052;Nordfriesland;-;Galmsbüll;-;122,5;-
PR1_NFL_053;Nordfriesland;-;Risum-Lindholm;-;60,1;-
PR1_NFL_054;Nordfriesland;-;Hörup, Stadum;-;49,1;-
PR1_NFL_056;Nordfriesland;Nordfriesland;Dagebüll, Risum-Lindholm;Dagebüll, Risum-Lindholm;99,4;99,4
PR1_NFL_057;Nordfriesland;Nordfriesland;Dagebüll, Galmsbüll, Risum-Lindholm;Risum-Lindholm;90,2;64,8
PR1_NFL_060;Nordfriesland;Nordfriesland;Enge-Sande, Stadum;Enge-Sande, Stadum;85,5;81,7
PR1_NFL_062;Nordfriesland;Nordfriesland;Enge-Sande;Enge-Sande;40,7;40,7
PR1_NFL_067;Nordfriesland;-;Goldelund, Lindewitt;-;35,5;-
PR1_NFL_069;Nordfriesland;Nordfriesland;Goldebek, Goldelund, Lindewitt;Goldebek, Goldelund, Lindewitt;202,9;95
PR1_NFL_071;Nordfriesland;-;Goldelund, Lütjenholm;-;50,8;-
PR1_NFL_072;Nordfriesland;Nordfriesland;Goldebek, Lindewitt;Goldebek, Lindewitt;391,6;293
PR1_NFL_073;Nordfriesland;Nordfriesland;Langenhorn;Langenhorn;132,1;132,1
PR1_NFL_074;Nordfriesland;Nordfriesland;Högel, Lütjenholm;Lütjenholm;61,9;41,1
PR1_NFL_075;Nordfriesland;-;Bordelum;-;59,6;-
PR1_NFL_076;Nordfriesland;-;Langenhorn;-;34,2;-
PR1_NFL_077;Nordfriesland;-;Goldebek, Joldelund;-;16,4;-
PR1_NFL_079;Nordfriesland;-;Högel;-;34,8;-
PR1_NFL_080;Nordfriesland;Nordfriesland;Bordelum, Langenhorn;Bordelum, Langenhorn;263,1;263,1
PR1_NFL_081;Nordfriesland;-;Goldebek, Goldelund, Joldelund;-;144,6;-
PR1_NFL_082;Nordfriesland;Nordfriesland;Joldelund, Löwenstedt;Joldelund, Löwenstedt;210,3;155,7
PR1_NFL_084;Nordfriesland;Nordfriesland;Ockholm, Reußenköge;Reußenköge;88,8;16,6
PR1_NFL_085;Nordfriesland;Nordfriesland;Janneby, Jörl, Lindewitt, Löwenstedt;Jörl, Lindewitt, Löwenstedt;540,9;287,5
PR1_NFL_086;Nordfriesland;Nordfriesland;Bordelum, Högel, Sönnebüll, Vollstedt;Bordelum, Högel, Sönnebüll, Vollstedt;132;132
PR1_NFL_087;Nordfriesland;Nordfriesland;Bordelum, Langenhorn, Reußenköge;Bordelum, Langenhorn, Reußenköge;517,8;517,8
PR1_NFL_089;Nordfriesland;Nordfriesland;Högel, Vollstedt;Högel, Vollstedt;144;110,5
PR1_NFL_090;Nordfriesland;Nordfriesland;Drelsdorf, Högel, Joldelund, Kolkerheide,Löwenstedt, Vollstedt;Drelsdorf, Högel, Joldelund, Vollstedt;477,1;197,8
PR1_NFL_091;Nordfriesland;Nordfriesland;Breklum, Sönnebüll;Breklum, Sönnebüll;18,3;18,3
PR1_NFL_093;Nordfriesland;-;Drelsdorf, Joldelund, Kolkerheide, Norstedt;-;71,7;-
PR1_NFL_094;Nordfriesland;Nordfriesland;Bordelum, Reußenköge;Reußenköge;400,4;303,4
PR1_NFL_095;Nordfriesland;Nordfriesland;Reußenköge;Reußenköge;133,5;120,7
PR1_NFL_096;Nordfriesland;Nordfriesland;Haselund, Löwenstedt, Norstedt, Viöl;Haselund, Löwenstedt, Norstedt, Viöl;510,9;362,7
PR1_NFL_097;Nordfriesland;Nordfriesland;Almdorf, Struckum;Almdorf, Struckum;16;16
PR1_NFL_098;Nordfriesland;-;Drelsdorf;-;23,1;-
PR1_NFL_099;Nordfriesland;-;Behrendorf, Haselund, Sollwitt, Viöl;-;92;-
PR1_NFL_100;Nordfriesland;Nordfriesland;Bredstedt, Breklum, Reußenköge, Struckum;Breklum, Reußenköge, Struckum;349,1;280,8
PR1_NFL_101;Nordfriesland;Nordfriesland;Bohmstedt;Bohmstedt;15,2;15,2
PR1_NFL_102;Nordfriesland;Nordfriesland;Behrendorf, Bondelum, Sollwitt,Süderhackstedt;Behrendorf, Sollwitt, Süderhackstedt;261,7;98,8
PR1_NFL_103;Nordfriesland;Nordfriesland;Reußenköge;Reußenköge;115,1;115,1
PR1_NFL_104;Nordfriesland;Nordfriesland;Behrendorf;Behrendorf;92,1;87,3
