ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor;Coords Pot;Coords Vor
PR3_DIT_044;Dithmarschen;Dithmarschen;Tellingstedt;Tellingstedt;59.0;25. Feb;WKA in Betrieb;WKA in Betrieb;[54.2199228, 9.280779];[54.2199228, 9.280779]
PR3_DIT_045;Dithmarschen;Dithmarschen;Hedwigenkoog,Hellschen-Heringsand-Unterschaar;Hedwigenkoog,Hellschen-Heringsand-Unterschaar;158.4;158.4;WKA in Betrieb;WKA in Betrieb;[54.19165, 8.85];[54.19165, 8.85]
PR3_DIT_046;Dithmarschen;Dithmarschen;Norderwöhrden,Oesterwurth,Wesselburener Deichhausen;Norderwöhrden,Oesterwurth,Wesselburener Deichhausen;128.3;128.3;-;-;[54.1971987, 8.9793682];[54.1971987, 8.9793682]
PR3_DIT_047;Dithmarschen;Dithmarschen;Reinsbüttel,Süderdeich,WesselburenerDeichhausen;Reinsbüttel,Süderdeich,Wesselburener Deichhausen;121.0;121.0;WKA in Betrieb;WKA in Betrieb;[54.1899551, 8.9107361];[54.1849355, 8.9198589]
PR3_DIT_049;Dithmarschen;Dithmarschen;Hedwigenkoog,Hellschen-Heringsand-Unterschaar,Reinsbüttel,Süderdeich;Hedwigenkoog,Hellschen-Heringsand-Unterschaar,Reinsbüttel,Süderdeich;221.2;221.2;-;-;[54.1908026, 8.880368];[54.1908026, 8.880368]
PR3_DIT_051;Dithmarschen;Dithmarschen;Lohe-Rickelshof,Norderwöhrden,Wöhrden;Lohe-Rickelshof,Norderwöhrden,Wöhrden;90.9;90.9;WKA in Betrieb;WKA in Betrieb;[54.1848129, 9.0280665];[54.1848129, 9.0280665]
PR3_DIT_055;Dithmarschen;-;Norderwöhrden,Wöhrden;-;40.1;0.0;-;-;[54.18335, 9.008335];[0, 0]
PR3_DIT_058;Dithmarschen;Dithmarschen;Norderwöhrden,Wöhrden;Norderwöhrden,Wöhrden;210.8;210.8;-;-;[54.18335, 9.008335];[54.18335, 9.008335]
PR3_DIT_059;Dithmarschen;Dithmarschen;Friedrichsgabekoog,Norderwöhrden,Wesselburener Deichhausen,Wöhrden;Norderwöhrden,WesselburenerDeichhausen,Wöhrden;127.5;104.1;WKA in Betrieb;WKA in Betrieb;[54.1738349, 8.9728119];[54.18335, 9.008335]
PR3_DIT_063;Dithmarschen;Dithmarschen;Hemmingstedt,Lieth,Wöhrden;Hemmingstedt,Lieth,Wöhrden;175.7;175.7;-;-;[54.1575769, 9.047794];[54.1575769, 9.047794]
PR3_DIT_066;Dithmarschen;Dithmarschen;Albersdorf,Arkebek,Tensbüttel-Röst;Albersdorf;186.5;56.1;-;-;[54.1423296, 9.2576434];[54.1458092, 9.285792]
PR3_DIT_067;Dithmarschen;Dithmarschen;Nordermeldorf,Wöhrden;Nordermeldorf;97.0;76.1;-;-;[54.1417925, 9.0093881];[54.1168851, 9.0187761]
PR3_DIT_068;Dithmarschen;Dithmarschen;Epenwöhrden,Hemmingstedt,Nordermeldorf;Epenwöhrden,Nordermeldorf;43.2;39.4;-;-;[54.125952, 9.0511613];[54.1136063, 9.0354269]
PR3_DIT_069;Dithmarschen;-;Nordermeldorf;-;17. Sep;0.0;-;-;[54.1168851, 9.0187761];[0, 0]
PR3_DIT_070;Dithmarschen;-;Epenwöhrden;-;35.7;0.0;-;-;[54.1103274, 9.0520778];[0, 0]
PR3_DIT_071;Dithmarschen;Dithmarschen;Nordermeldorf;Nordermeldorf;73.1;47.5;-;-;[54.1168851, 9.0187761];[54.1168851, 9.0187761]
PR3_DIT_073;Dithmarschen;Dithmarschen;Albersdorf,Schafstedt,Tensbüttel-Röst;Albersdorf,Schafstedt,Tensbüttel-Röst;145.0;100.5;WKA in Betrieb;WKA in Betrieb;[54.1158414, 9.2737759];[54.1158414, 9.2737759]
PR3_DIT_081;Dithmarschen;-;Elpersbüttel;-;30. Jan;0.0;-;-;[54.0733317, 9.0450158];[0, 0]
PR3_DIT_082;Dithmarschen;-;Eggstedt;-;14. Feb;0.0;-;-;[54.0522854, 9.2615007];[0, 0]
PR3_DIT_083;Dithmarschen;Dithmarschen;Eggstedt,Süderhastedt;Eggstedt,Süderhastedt;228.3;164.5;WKA in Betrieb;WKA in Betrieb;[54.0519456, 9.2352605];[54.0519456, 9.2352605]
PR3_DIT_084;Dithmarschen;-;Busenwurth,Elpersbüttel;-;257.3;0.0;-;-;[54.0559092, 9.0416263];[0, 0]
PR3_DIT_089;Dithmarschen;Dithmarschen;Barlt,Busenwurth,Gudendorf;Barlt,Busenwurth,Gudendorf;138.7;98.4;-;-;[54.0254652, 9.0675956];[54.0254652, 9.0675956]
PR3_DIT_091;Dithmarschen;Dithmarschen;Barlt,Trennewurth;Barlt,Trennewurth;98.0;72.3;-;-;[54.0062202, 9.0438523];[54.0062202, 9.0438523]
PR3_DIT_095;Dithmarschen;Dithmarschen;Barlt,St. Michaelisdonn,Volsemenhusen;Barlt,St. Michaelisdonn,Volsemenhusen;514.8;459.6;-;-;[53.987382, 9.0790694];[53.987382, 9.0790694]
PR3_DIT_096;Dithmarschen;Dithmarschen;Helse,Trennewurth;Helse,Trennewurth;97.2;97.2;WKA in Betrieb;WKA in Betrieb;[53.9881179, 9.0215716];[53.9881179, 9.0215716]
PR3_DIT_097;Dithmarschen;Dithmarschen;Helse,Trennewurth,Volsemenhusen;Helse,Trennewurth,Volsemenhusen;142.4;142.4;WKA in Betrieb;WKA in Betrieb;[53.9808803, 9.035708];[53.9808803, 9.035708]
PR3_DIT_100;Dithmarschen;Dithmarschen;Kronprinzenkoog;Kronprinzenkoog;76.6;76.6;WKA in Betrieb;WKA in Betrieb;[53.9708971, 8.9609516];[53.9708971, 8.9609516]
PR3_DIT_102;Dithmarschen;Dithmarschen;Dingen,Eddelak,Volsemenhusen;Dingen,Volsemenhusen;193.0;191.2;WKA in Betrieb;WKA in Betrieb;[53.9570703, 9.111269];[53.962312, 9.0970229]
PR3_DIT_103;Dithmarschen;Dithmarschen;Diekhusen-Fahrstedt,Marne,Volsemenhusen;Diekhusen-Fahrstedt,Marne,Volsemenhusen;45.3;36.9;-;-;[53.9546792, 9.0317175];[53.9546792, 9.0317175]
PR3_DIT_104;Dithmarschen;Dithmarschen;Diekhusen-Fahrstedt,Schmedeswurth;Diekhusen-Fahrstedt,Schmedeswurth;107.6;93.2;WKA in Betrieb;WKA in Betrieb;[53.9361579, 9.0303212];[53.9361579, 9.0303212]
PR3_DIT_105;Dithmarschen;-;Brunsbüttel;-;133.0;0.0;-;-;[53.8972549, 9.1395423];[0, 0]
PR3_DIT_106;Dithmarschen;Dithmarschen;Brunsbüttel;Brunsbüttel;35.5;35.5;-;-;[53.8972549, 9.1395423];[53.8972549, 9.1395423]
PR3_DIT_107;Dithmarschen;Dithmarschen;Brunsbüttel,Ramhusen;Brunsbüttel,Ramhusen;117.8;117.8;WKA in Betrieb;WKA in Betrieb;[53.9197739, 9.1112229];[53.9197739, 9.1112229]
PR3_DIT_108;Dithmarschen;Dithmarschen;Brunsbüttel;Brunsbüttel;29. Aug;29. Aug;WKA in Betrieb;WKA in Betrieb;[53.8972549, 9.1395423];[53.8972549, 9.1395423]
PR3_DIT_109;Dithmarschen;Dithmarschen;Diekhusen-Fahrstedt,Neufeld,Schmedeswurth;Diekhusen-Fahrstedt,Neufeld,Schmedeswurth;144.9;143.5;WKA in Betrieb;WKA in Betrieb;[53.9274528, 9.0276063];[53.9274528, 9.0276063]
PR3_DIT_110;Dithmarschen;Dithmarschen;Brunsbüttel,Neufeld,Schmedeswurth;Brunsbüttel,Neufeld;330.3;322.6;WKA in Betrieb;WKA in Betrieb;[53.9113656, 9.0673111];[53.9036488, 9.0808595]
PR3_DIT_111;Dithmarschen;-;Brunsbüttel;-;34.1;0.0;-;-;[53.8972549, 9.1395423];[0, 0]
PR3_DIT_112;Dithmarschen;-;Brunsbüttel;-;61.3;0.0;WKA in Betrieb;-;[53.8972549, 9.1395423];[0, 0]
PR3_DIT_134;Dithmarschen;-;Bergewöhrden,Hennstedt,Süderstapel;-;185.8;0.0;-;-;[54.3021373, 9.1884576];[0, 0]
PR3_DIT_301;Dithmarschen;-;Lehe;-;139.8;0.0;WKA in Betrieb;-;[54.3414522, 9.0228629];[0, 0]
PR3_DIT_302;Dithmarschen;-;Lehe,St. Annen;-;63.0;0.0;-;-;[54.3452736, 9.0505181];[0, 0]
PR3_DIT_303;Dithmarschen;-;Fedderingen;-;52.1;0.0;-;-;[54.2817712, 9.1306333];[0, 0]
PR3_DIT_304;Dithmarschen;-;Fedderingen,Stelle-Wittenwurth,Weddingstedt,Wiemerstedt;-;255.2;0.0;-;-;[54.2612874, 9.0969276];[0, 0]
PR3_DIT_305;Dithmarschen;-;Dellstedt,Tielenhemme;-;20. Jul;0.0;-;-;[54.2567808, 9.3792138];[0, 0]
PR3_DIT_307;Dithmarschen;-;Heide;-;36.8;0.0;-;-;[54.1948456, 9.0929015];[0, 0]
PR3_DIT_309;Dithmarschen;-;Bargenstedt,Epenwöhrden,Hemmingstedt,Meldorf,Nindorf,Sarzbüttel;-;974.5;0.0;-;-;[54.1081989, 9.107758];[0, 0]
PR3_DIT_310;Dithmarschen;-;Nordhastedt,Odderade,Sarzbüttel;-;306.6;0.0;-;-;[54.1424959, 9.1855024];[0, 0]
PR3_DIT_312;Dithmarschen;-;Elpersbüttel,Krumstedt,Nindorf,Windbergen,Wolmersdorf;-;403.1;0.0;-;-;[54.0702538, 9.1118369];[0, 0]
PR3_DIT_314;Dithmarschen;-;Frestedt,Krumstedt,Süderhastedt;-;201.7;0.0;-;-;[54.048134, 9.1884298];[0, 0]
PR3_DIT_317;Dithmarschen;-;Kaiser-Wilhelm-Koog;-;18.0;0.0;WKA in Betrieb;-;[53.9432915, 8.9260047];[0, 0]
PR3_DIT_401;Dithmarschen;-;Lehe;-;86.4;0.0;-;-;[54.3414522, 9.0228629];[0, 0]
PR3_DIT_402;Dithmarschen;-;Groven;-;29.0;0.0;-;-;[54.3135257, 8.9980958];[0, 0]
PR3_DIT_403;Dithmarschen;-;Delve,Glüsing,Pahlen,Schalkholz,Wallen;-;204.7;0.0;-;-;[54.2749974, 9.2583626];[0, 0]
PR3_DIT_405;Dithmarschen;-;Süderdorf;-;23. Jan;0.0;-;-;[54.2134347, 9.3369528];[0, 0]
PR3_DIT_406;Dithmarschen;-;Bunsoh,Offenbüttel;-;24. Mai;0.0;-;-;[54.1669158, 9.3385918];[0, 0]
PR3_DIT_407;Dithmarschen;-;Norderwöhrden;-;30. Jul;0.0;-;-;[54.2, 9.01667];[0, 0]
PR3_DIT_408;Dithmarschen;-;Lohe-Rickelshof;-;17. Apr;0.0;-;-;[54.1877386, 9.0675296];[0, 0]
PR3_DIT_409;Dithmarschen;Dithmarschen;Krumstedt,Tensbüttel-Röst;Krumstedt,Tensbüttel-Röst;29.2;28. Sep;-;-;[54.0938745, 9.2094651];[54.0938745, 9.2094651]
PR3_DIT_410;Dithmarschen;-;Krumstedt,Schafstedt;-;32.6;0.0;-;-;[54.0752758, 9.23778];[0, 0]
PR3_DIT_411;Dithmarschen;-;Süderhastedt;-;19. Jun;0.0;-;-;[54.0516058, 9.2090204];[0, 0]
PR3_DIT_412;Dithmarschen;-;Eggstedt,Holstenniendorf,Schafstedt;-;105.8;0.0;-;-;[54.0672722, 9.2787917];[0, 0]
PR3_DIT_413;Dithmarschen;-;Averlak,Buchholz,Burg (Dithmarschen),Kuden;-;203.3;0.0;-;-;[53.9736585, 9.2153483];[0, 0]
PR3_DIT_414;Dithmarschen;-;Buchholz,Kuden;-;58.6;0.0;-;-;[53.9777417, 9.2102831];[0, 0]
PR3_DIT_415;Dithmarschen;-;Averlak;-;32.3;0.0;-;-;[53.9414553, 9.1841596];[0, 0]
PR3_DIT_416;Dithmarschen;-;Volsemenhusen;-;26. Mai;0.0;-;-;[53.966405, 9.0639808];[0, 0]
PR3_DIT_417;Dithmarschen;-;Schmedeswurth;-;23. Mrz;0.0;-;-;[53.9267994, 9.0402144];[0, 0]
PR3_DIT_418;Dithmarschen;Dithmarschen;Friedrichskoog;Friedrichskoog;27. Apr;27. Apr;-;-;[54.0072866, 8.8841226];[54.0072866, 8.8841226]
PR3_DIT_419;Dithmarschen;Dithmarschen;Kronprinzenkoog;Kronprinzenkoog;15.0;15.0;-;-;[53.9708971, 8.9609516];[53.9708971, 8.9609516]
PR3_DIT_501;Dithmarschen;-;Karolinenkoog;-;25.0;0.0;-;-;[54.2833, 8.96667];[0, 0]
PR3_DIT_094;Dithmarschen;Dithmarschen;Friedrichskoog, Kronprinzenkoog;Friedrichskoog, Kronprinzenkoog;328.2;317.4;-;-;[53.9890919, 8.9225371];[53.9890919, 8.9225371]
PR3_DIT_099;Dithmarschen;Dithmarschen;Friedrichskoog, Kronprinzenkoog;Friedrichskoog, Kronprinzenkoog;72.9;72.9;-;-;[53.9890919, 8.9225371];[53.9890919, 8.9225371]
PR3_DIT_101;Dithmarschen;Dithmarschen;Friedrichskoog, Kaiser?Wilhelm?Koog;Friedrichskoog, Kaiser?Wilhelm?Koog;48.5;48.5;-;-;[53.9739988, 8.9054981];[53.9739988, 8.9054981]
PR3_LAU_001;Herzogtum Lauenburg;Herzogtum Lauenburg;Bliestorf,Kastorf,Siebenbäumen;Bliestorf,Kastorf,Siebenbäumen;229.9;86.4;WKA in Betrieb;WKA in Betrieb;[53.7540627, 10.5620378];[53.7540627, 10.5620378]
PR3_LAU_002;Herzogtum Lauenburg;-;Rondeshagen;-;28. Jan;0.0;-;-;[53.751837, 10.6288891];[0, 0]
PR3_LAU_003;Herzogtum Lauenburg;-;Berkenthin;-;72.2;0.0;-;-;[53.7338071, 10.6391585];[0, 0]
PR3_LAU_005;Herzogtum Lauenburg;-;Groß Boden,Schürensöhlen,Steinhorst;-;188.7;0.0;-;-;[53.7453618, 10.4693709];[0, 0]
PR3_LAU_006;Herzogtum Lauenburg;Herzogtum Lauenburg;Lasbek,Stubben;Lasbek;131.8;106.2;WKA in Betrieb;WKA in Betrieb;[53.7336268, 10.4320818];[0, 0]
PR3_LAU_009;Herzogtum Lauenburg;-;Buchholz,Einhaus;-;23. Mai;0.0;-;-;[53.7253274, 10.7367175];[0, 0]
PR3_LAU_011;Herzogtum Lauenburg;-;Düchelsdorf,Göldenitz,Klinkrade,Niendorfbei Berkenthin,Sierksrade;-;156.8;0.0;-;-;[53.728055, 10.5911251];[0, 0]
PR3_LAU_012;Herzogtum Lauenburg;-;Behlendorf;-;24. Jun;0.0;-;-;[53.6985833, 10.6685418];[0, 0]
PR3_LAU_013;Herzogtum Lauenburg;-;Kulpin;-;42.6;0.0;-;-;[53.7091424, 10.6957205];[0, 0]
PR3_LAU_014;Herzogtum Lauenburg;-;Schiphorst,Stubben;-;76.8;0.0;WKA in Betrieb;-;[53.7207973, 10.4469459];[0, 0]
PR3_LAU_015;Herzogtum Lauenburg;-;Sandesneben,Schiphorst,Steinhorst;-;114.7;0.0;-;-;[53.7049664, 10.480889];[0, 0]
PR3_LAU_017;Herzogtum Lauenburg;-;Behlendorf;-;31. Aug;0.0;-;-;[53.6985833, 10.6685418];[0, 0]
PR3_LAU_018;Herzogtum Lauenburg;-;Duvensee,Kühsen,Niendorf bei Berkenthin;-;62.6;0.0;-;-;[53.6941697, 10.6032491];[0, 0]
PR3_LAU_019;Herzogtum Lauenburg;-;Behlendorf;-;40.4;0.0;-;-;[53.6985833, 10.6685418];[0, 0]
PR3_LAU_020;Herzogtum Lauenburg;-;Fredeburg,Giesensdorf,Ratzeburg;-;22. Aug;0.0;-;-;[53.6818829, 10.7380485];[0, 0]
PR3_LAU_021;Herzogtum Lauenburg;-;Behlendorf,Lankau;-;55.7;0.0;-;-;[53.6826417, 10.6676209];[0, 0]
PR3_LAU_022;Herzogtum Lauenburg;-;Lüchow,Sirksfelde;-;74.6;0.0;-;-;[53.6775253, 10.5207136];[0, 0]
PR3_LAU_023;Herzogtum Lauenburg;-;Schmilau;-;95.0;0.0;-;-;[53.6637189, 10.7571845];[0, 0]
PR3_LAU_024;Herzogtum Lauenburg;-;Wentorf (Amt Sandesneben);-;22. Jan;0.0;-;-;[53.6726492, 10.4740888];[0, 0]
PR3_LAU_025;Herzogtum Lauenburg;-;Kühsen,Nusse;-;54.0;0.0;-;-;[53.6703637, 10.5985465];[0, 0]
PR3_LAU_026;Herzogtum Lauenburg;-;Schmilau;-;89.2;0.0;-;-;[53.6637189, 10.7571845];[0, 0]
PR3_LAU_027;Herzogtum Lauenburg;-;Lankau;-;82.3;0.0;-;-;[53.6667, 10.6667];[0, 0]
PR3_LAU_028;Herzogtum Lauenburg;-;Koberg,Ritzerau;-;45.7;0.0;-;-;[53.6481803, 10.5414026];[0, 0]
PR3_LAU_029;Herzogtum Lauenburg;-;Horst,Sterley;-;121.5;0.0;-;-;[53.6267438, 10.7921958];[0, 0]
PR3_LAU_030;Herzogtum Lauenburg;-;Sterley;-;15. Apr;0.0;-;-;[53.6194729, 10.8188333];[0, 0]
PR3_LAU_031;Herzogtum Lauenburg;-;Koberg,Linau;-;149.8;0.0;-;-;[53.639979, 10.4938852];[0, 0]
PR3_LAU_032;Herzogtum Lauenburg;-;Horst,Sterley;-;43.4;0.0;-;-;[53.6267438, 10.7921958];[0, 0]
PR3_LAU_033;Herzogtum Lauenburg;Herzogtum Lauenburg;Alt Mölln,Bälau,Panten,Poggensee;Bälau,Panten,Poggensee;382.9;186.5;WKA in Betrieb;WKA in Betrieb;[53.6349666, 10.6180891];[53.6410554, 10.6074521]
PR3_LAU_034;Herzogtum Lauenburg;-;Horst,Sterley;-;105.5;0.0;-;-;[53.6267438, 10.7921958];[0, 0]
PR3_LAU_035;Herzogtum Lauenburg;-;Walksfelde;-;25. Jul;0.0;-;-;[53.6329056, 10.5754036];[0, 0]
PR3_LAU_036;Herzogtum Lauenburg;-;Seedorf;-;58.7;0.0;-;-;[53.6195914, 10.8672662];[0, 0]
PR3_LAU_037;Herzogtum Lauenburg;-;Sterley;-;30. Jun;0.0;-;-;[53.6194729, 10.8188333];[0, 0]
PR3_LAU_038;Herzogtum Lauenburg;-;Bälau,Borstorf,Breitenfelde,Niendorf/Stecknitz;-;124.2;0.0;-;-;[53.6061614, 10.6062358];[0, 0]
PR3_LAU_039;Herzogtum Lauenburg;-;Hollenbek,Seedorf;-;39.3;0.0;-;-;[53.6054415, 10.8438199];[0, 0]
PR3_LAU_041;Herzogtum Lauenburg;Herzogtum Lauenburg;Breitenfelde;Breitenfelde;82.7;31. Aug;-;-;[53.6072865, 10.6352046];[53.6072865, 10.6352046]
PR3_LAU_042;Herzogtum Lauenburg;Herzogtum Lauenburg;Breitenfelde,Woltersdorf;Breitenfelde,Woltersdorf;155.8;75.4;-;-;[53.592493, 10.6369881];[53.592493, 10.6369881]
PR3_LAU_043;Herzogtum Lauenburg;-;Gudow,Lehmrade;-;93.7;0.0;-;-;[53.5745797, 10.7586082];[0, 0]
PR3_LAU_044;Herzogtum Lauenburg;-;Klein Zecher;-;48.6;0.0;-;-;[53.5781131, 10.8735174];[0, 0]
PR3_LAU_045;Herzogtum Lauenburg;-;Gudow,Hollenbek;-;283.2;0.0;-;-;[53.5732664, 10.7934759];[0, 0]
PR3_LAU_046;Herzogtum Lauenburg;-;Besenthal,Gudow;-;95.7;0.0;-;-;[53.5425742, 10.7540471];[0, 0]
PR3_LAU_047;Herzogtum Lauenburg;-;Besenthal,Göttin;-;123.5;0.0;-;-;[53.5307997, 10.7220814];[0, 0]
PR3_LAU_048;Herzogtum Lauenburg;-;Elmenhorst,Groß Pampau,Kankelau,Sahms;-;92.4;0.0;-;-;[53.5347986, 10.5487183];[0, 0]
PR3_LAU_049;Herzogtum Lauenburg;-;Roseburg;-;40.1;0.0;-;-;[53.5314978, 10.6265906];[0, 0]
PR3_LAU_050;Herzogtum Lauenburg;-;Roseburg;-;34.7;0.0;-;-;[53.5314978, 10.6265906];[0, 0]
PR3_LAU_052;Herzogtum Lauenburg;-;Klein Pampau,Siebeneichen;-;38.3;0.0;-;-;[53.5107627, 10.5988946];[0, 0]
PR3_LAU_053;Herzogtum Lauenburg;-;Fitzen;-;18. Aug;0.0;-;-;[53.4957965, 10.6485605];[0, 0]
PR3_LAU_054;Herzogtum Lauenburg;-;Brunstorf,Dassendorf;-;114.0;0.0;-;-;[53.4915422, 10.3997872];[0, 0]
PR3_LAU_055;Herzogtum Lauenburg;-;Brunstorf,Dassendorf,Worth;-;96.2;0.0;-;-;[53.48383, 10.4029283];[0, 0]
PR3_LAU_056;Herzogtum Lauenburg;-;Büchen,Schulendorf;-;30. Jul;0.0;-;-;[53.4781777, 10.5885887];[0, 0]
PR3_LAU_057;Herzogtum Lauenburg;-;Bröthen;-;54.1;0.0;-;-;[53.4795325, 10.6661394];[0, 0]
PR3_LAU_058;Herzogtum Lauenburg;-;Hohenhorn;-;17.0;0.0;-;-;[53.4762046, 10.3687668];[0, 0]
PR3_LAU_059;Herzogtum Lauenburg;-;Schulendorf;-;96.1;0.0;-;-;[53.4730525, 10.5604815];[0, 0]
PR3_LAU_060;Herzogtum Lauenburg;-;Schulendorf;-;25. Sep;0.0;-;-;[53.4730525, 10.5604815];[0, 0]
PR3_LAU_061;Herzogtum Lauenburg;-;Witzeeze;-;23. Mrz;0.0;-;-;[53.4515894, 10.6090961];[0, 0]
PR3_LAU_062;Herzogtum Lauenburg;Herzogtum Lauenburg;Hamwarde,Kollow,Wiershop;Hamwarde;73.6;19. Jan;-;-;[53.452575, 10.4443368];[53.4526247, 10.4219226]
PR3_LAU_063;Herzogtum Lauenburg;Herzogtum Lauenburg;Basedow,Dalldorf,Lütau,Wangelau,Witzeeze;Wangelau,Witzeeze;484.2;99.7;WKA in Betrieb;WKA in Betrieb;[53.43884, 10.5797059];[53.4531107, 10.5777874]
PR3_LAU_064;Herzogtum Lauenburg;-;Gülzow,Kollow,Wiershop;-;150.3;0.0;-;-;[53.4489931, 10.4671668];[0, 0]
PR3_LAU_065;Herzogtum Lauenburg;-;Gülzow,Lütau,Wangelau;-;115.5;0.0;-;-;[53.4437259, 10.5283893];[0, 0]
PR3_LAU_066;Herzogtum Lauenburg;-;Juliusburg;-;57.2;0.0;-;-;[53.4167052, 10.5048014];[0, 0]
